question,expected_answer,predicted_answer,num_results,num_sentences,precision,recall,f1,common_tokens,predicted_tokens,expected_tokens,common_token_list,success,error,question_id,f1_category,llm_rewritten_answer,llm_precision,llm_recall,llm_f1,llm_common_tokens,llm_predicted_tokens,f1_improvement,precision_improvement,recall_improvement
"How are soil parameters distinguished and classified, and how are complex parameters derived?",Soil parameters are distinguished as basic and specific soil parameters. Soil attributes (measured soil parameters) are classified as dynamic and static soil parameters. Complex parameters are difficult to measure and derived from basic parameters using models.,"basic soil parameters has narrower morphological soil parameters. basic soil parameters has narrower soil physical parameters. complex soil parameters is derived from basic soil parameters. complex soil parameters is derived from, make use of pedo-transfer functions. measured soil parameters has narrower dynamic soil parameters. measured soil parameters has narrower static soil parameters. soil parameters has narrower basic soil parameters. soil parameters has narrower specific soil parameters. specific soil parameters has narrower facultative soil parameters. specific soil parameters has narrower obligatory parameters.",10,10,0.3571428571428571,0.4761904761904761,0.4081632653061224,10,28,21,"['basic', 'complex', 'derived', 'dynamic', 'from', 'measured', 'parameters', 'soil', 'specific', 'static']",True,,11,Poor (0.3-0.5),Soil parameters are classified into basic and specific: basic soil parameters include morphological and soil physical parameters; specific soil parameters include facultative soil parameters and obligatory parameters; measured soil parameters include dynamic and static soil parameters. Complex soil parameters are derived from basic soil parameters using pedo-transfer functions.,0.6086956521739131,0.6666666666666666,0.6363636363636365,14,23,0.22820037105751406,0.251552795031056,0.19047619047619052
"What risk assessment models are currently in use and in which countries, if any, are they used?",The risk assessment model SansCrit and the Dutch risk assessment toolbox used in the Netherlands; the CLEA model used in the United Kingdom; and the S-Risk model and regional versions of the S-Risk model used in Belgium.,CLEA model United Kingdom. Dutch risk assessment toolbox Netherlands. S-Risk model Belgium. SansCrit model. regional versions of the S-Risk model.,5,5,1.0,0.8421052631578947,0.9142857142857144,16,16,19,"['assessment', 'belgium', 'clea', 'dutch', 'kingdom', 'model', 'netherlands', 'of', 'regional', 'risk', 's', 'sanscrit', 'the', 'toolbox', 'united', 'versions']",True,,12,Excellent (0.9-1.0),"Models in use: CLEA (United Kingdom), Dutch risk assessment toolbox (Netherlands), S-Risk (Belgium), SansCrit, and regional versions of the S-Risk model (countries not specified).",0.782608695652174,0.9473684210526315,0.8571428571428571,18,23,-0.05714285714285727,-0.21739130434782605,0.10526315789473684
What are the main types of soil degradation and where does soil sealing fall into this category?,"The main types of soil degradation are physical, chemical, biological, and ecological degradation. Soil sealing is a form of physical degradation.",soil degradation includes soil biological degradation. soil degradation includes soil chemical degradation. soil degradation includes soil ecological degradation. soil degradation includes soil physical degradation. soil physical degradation includes soil sealing.,5,5,0.875,0.4375,0.5833333333333334,7,8,16,"['biological', 'chemical', 'degradation', 'ecological', 'physical', 'sealing', 'soil']",True,,13,Fair (0.5-0.7),"The main types of soil degradation are biological, chemical, ecological, and physical, and soil sealing is a form of physical degradation.",1.0,1.0,1.0,16,16,0.41666666666666663,0.125,0.5625
What is soil chemical degradation and what characteristics does it include?,"Soil chemical degradation is characterised by changes in soil processes, including nutrient depletion, acidification, salinisation and contamination.",soil chemical degradation includes acidification. soil chemical degradation includes contamination. soil chemical degradation includes nutrient depletion. soil chemical degradation includes soil salinisation. soil chemical degradation definition Soil chemical degradation is characterised by changes in soil processes. soil chemical degradation is characterised by soil process changes.,6,6,0.8235294117647058,0.875,0.8484848484848485,14,17,16,"['acidification', 'by', 'changes', 'characterised', 'chemical', 'contamination', 'degradation', 'depletion', 'in', 'is', 'nutrient', 'processes', 'salinisation', 'soil']",True,,14,Good (0.7-0.9),"Soil chemical degradation is characterised by changes in soil processes and includes acidification, contamination, nutrient depletion, and soil salinisation.",0.9375,0.9375,0.9375,15,16,0.08901515151515149,0.11397058823529416,0.0625
How is soil biological degradation defined and what it leads to?,"Soil biological degradation refers to reduced soil biological activity, which can be accompanied by a loss of soil biodiversity. This leads to lower levels of mineralisation and respiration and an accumulation of incompletely decomposed dead organic matter (necromass).","soil biological degradation causes soil organic carbon losses peat soils. soil biological degradation negatively regulates soil nutrient availability forest topsoils. soil biological degradation negatively regulates mineralisation. soil biological degradation negatively regulates respiration. soil biological degradation positively regulates soil organic matter forest topsoils. soil biological degradation positively regulates necromass. soil biological degradation definition Soil biological degradation refers to reduced soil biological activity, which can be accompanied by a loss of soil biodiversity. soil biological degradation is accompanied by soil biodiversity loss.",8,8,0.6,0.6774193548387096,0.6363636363636364,21,35,31,"['a', 'accompanied', 'activity', 'be', 'biodiversity', 'biological', 'by', 'can', 'degradation', 'loss', 'matter', 'mineralisation', 'necromass', 'of', 'organic', 'reduced', 'refers', 'respiration', 'soil', 'to', 'which']",True,,15,Fair (0.5-0.7),"Soil biological degradation is reduced soil biological activity accompanied by soil biodiversity loss, leading to soil organic carbon losses in peat soils, lower nutrient availability in forest topsoils, decreased mineralisation and respiration, and increased soil organic matter in forest topsoils and necromass.",0.5666666666666667,0.5483870967741935,0.5573770491803278,17,30,-0.07898658718330853,-0.033333333333333326,-0.12903225806451613
"How is soil ecological degradation defined, what does it reflect, and how does it affect ecosystem functions?","Soil ecological degradation reflects a combination of the other three types of degradation, including physical, chemical, and biological degradation. This leads to a disruption in ecosystem functions.",soil ecological degradation results in ending of element cycling. soil ecological degradation results in ending of water infiltration. soil ecological degradation results in ending of water purification. soil ecological degradation definition Soil ecological degradation reflects a combination of the other three types of degradation. soil ecological degradation reflects soil biological degradation. soil ecological degradation reflects soil chemical degradation. soil ecological degradation reflects soil physical degradation.,7,7,0.6521739130434783,0.6521739130434783,0.6521739130434783,15,23,23,"['a', 'biological', 'chemical', 'combination', 'degradation', 'ecological', 'in', 'of', 'other', 'physical', 'reflects', 'soil', 'the', 'three', 'types']",True,,16,Fair (0.5-0.7),"Soil ecological degradation is defined as reflecting a combination of soil biological, chemical, and physical degradation, and it ends element cycling, water infiltration, and water purification.",0.47619047619047616,0.43478260869565216,0.4545454545454545,10,21,-0.1976284584980238,-0.1759834368530021,-0.2173913043478261
"What are the essential soil indicators proposed by MAES and what are their units, if any?",Essential soil indicators proposed by MAES are: soil erosion (unit: kg/ha/year); soil sealing (unit: % area); soil contamination or pollution (from point or diffuse sources); available water capacity; soil nutrient availability; soil carbon stock (unit: t/ha or kg/m²); soil biodiversity potential.,available water capacity. soil biodiversity potential. soil carbon stocks KiloGM-PER-M2. soil carbon stocks TONNE-PER-HA. soil contamination. soil erosion KiloGM-PER-HA-YR. soil nutrient availability. soil pollution. soil sealing PERCENT.,9,9,0.6666666666666666,0.4375,0.5283018867924528,14,21,32,"['availability', 'available', 'biodiversity', 'capacity', 'carbon', 'contamination', 'erosion', 'ha', 'nutrient', 'pollution', 'potential', 'sealing', 'soil', 'water']",True,,17,Fair (0.5-0.7),"MAES essential soil indicators are available water capacity, soil biodiversity potential, soil carbon stocks (KiloGM-PER-M2, TONNE-PER-HA), soil contamination, soil erosion (KiloGM-PER-HA-YR), soil nutrient availability, soil pollution, and soil sealing (PERCENT).",0.6923076923076923,0.5625,0.6206896551724138,18,26,0.09238776837996099,0.02564102564102566,0.125
"According to the 2020 MAES assessment, what are the main soil indicators?","According to the 2020 MAES assessment, the main soil indicators are: based on modelling: erosion by water, agricultural area under severe erosion, soil erosion rates per unit of land cover, wind erosion rate; based on Eurostat indicators: gross nutrient balance; based on LUCAS soil measurements: topsoil nitrogen and phosphorous concentrations, trends in SOC stocks in cropland; based on EU research: extent (area) of organic soils, susceptibility to compaction; based on EEA indicators: soil sealing, contaminated sites.",agricultural area under severe erosion. area of organic soils. compaction susceptibility. contaminated sites. extent of organic soils. gross nutrient balance. soil erosion by water. soil erosion rates per unit of land cover. soil sealing. topsoil nitrogen concentration. topsoil phosphorous concentration. trends in SOC stocks in cropland. wind erosion rate.,13,13,0.9722222222222222,0.6363636363636364,0.7692307692307692,35,36,55,"['agricultural', 'area', 'balance', 'by', 'compaction', 'contaminated', 'cover', 'cropland', 'erosion', 'extent', 'gross', 'in', 'land', 'nitrogen', 'nutrient', 'of', 'organic', 'per', 'phosphorous', 'rate', 'rates', 'sealing', 'severe', 'sites', 'soc', 'soil', 'soils', 'stocks', 'susceptibility', 'topsoil', 'trends', 'under', 'unit', 'water', 'wind']",True,,18,Good (0.7-0.9),"The main soil indicators are agricultural area under severe erosion, area of organic soils, compaction susceptibility, contaminated sites, extent of organic soils, gross nutrient balance, soil erosion by water, soil erosion rates per unit of land cover, soil sealing, topsoil nitrogen concentration, topsoil phosphorous concentration, trends in SOC stocks in cropland, and wind erosion rate.",0.975609756097561,0.7272727272727273,0.8333333333333334,40,41,0.06410256410256421,0.003387533875338744,0.09090909090909094
What are the current land degradation indicators from Sustainable Development Goal (SDG) indicator 15.3.1 and what do these land degradation indicators represent?,"Land degradation indicators from Sustainable Development Goal (SDG) indicator 15.3.1 are land productivity, land cover change and carbon stocks. Land degradation indicators in this context represent 'key processes which underpin land-based natural capital'.",Definition of Land Degradation Indicators Land degradation indicators represent 'key processes which underpin land-based natural capital'. SDG Land Degradation Indicator carbon stocks. SDG Land Degradation Indicator land cover change. SDG Land Degradation Indicator land productivity.,4,4,0.9,0.6,0.7200000000000001,18,20,30,"['based', 'capital', 'carbon', 'change', 'cover', 'degradation', 'indicator', 'indicators', 'key', 'land', 'natural', 'processes', 'productivity', 'represent', 'sdg', 'stocks', 'underpin', 'which']",True,,19,Good (0.7-0.9),"The current SDG 15.3.1 land degradation indicators are carbon stocks, land cover change, and land productivity, and they represent “key processes which underpin land-based natural capital.”",0.88,0.7333333333333333,0.8,22,25,0.07999999999999996,-0.020000000000000018,0.1333333333333333
"Which GAEC standards are relevant to soils, and what are their respective topics?","Three GAEC standards refer directly to soil, namely GAEC 4 'Minimum soil cover', GAEC 5 'Minimum land management reflecting site specific conditions to limit erosion', and GAEC 6 'Maintain soil organic matter through appropriate practices'.",GAEC 4 'Minimum soil cover' soil cover. GAEC 5 'Minimum land management reflecting site specific conditions to limit erosion' land management. GAEC 6 'Maintain soil organic matter through appropriate practices' soil organic matter.,3,3,1.0,0.7857142857142857,0.88,22,22,28,"['4', '5', '6', 'appropriate', 'conditions', 'cover', 'erosion', 'gaec', 'land', 'limit', 'maintain', 'management', 'matter', 'minimum', 'organic', 'practices', 'reflecting', 'site', 'soil', 'specific', 'through', 'to']",True,,20,Good (0.7-0.9),"GAEC 4 “Minimum soil cover” (soil cover), GAEC 5 “Minimum land management reflecting site specific conditions to limit erosion” (land management), and GAEC 6 “Maintain soil organic matter through appropriate practices” (soil organic matter).",1.0,0.8214285714285714,0.9019607843137255,23,23,0.0219607843137255,0.0,0.0357142857142857
"What does soil organic carbon (SOC) affect, and what happens when SOC content is below certain thresholds?","Soil organic carbon (SOC) affects the quality of water, air, biodiversity, food and water security. Soil functions are hampered when SOC content is below thresholds for optimal or critical SOC content.",SOC contents below 'critical SOC contents' threshold results in ending of soil functions. SOC contents below 'lowest SOC contents' threshold results in ending of soil functions. Soil Organic Carbon affects air quality. Soil Organic Carbon affects biodiversity. Soil Organic Carbon affects food security. Soil Organic Carbon affects water quality. Soil Organic Carbon affects water security.,7,7,0.7142857142857143,0.5769230769230769,0.6382978723404256,15,21,26,"['affects', 'air', 'below', 'biodiversity', 'carbon', 'critical', 'food', 'functions', 'of', 'organic', 'quality', 'security', 'soc', 'soil', 'water']",True,,21,Fair (0.5-0.7),"Soil Organic Carbon affects air quality, biodiversity, food security, water quality, and water security; when SOC content is below the 'critical SOC contents' or 'lowest SOC contents' thresholds, soil functions end.",0.875,0.8076923076923077,0.8400000000000001,21,24,0.20170212765957451,0.1607142857142857,0.23076923076923084
How does soil organic matter (SOM) content influence various soil functions and environmental processes?,"Soil organic matter (SOM) content is a source of energy and carbon for soil organisms and affects the temperature and hydrology of soil, soil aggregation, soil erodibility, pore volume, the total reactive soil micro-surface, and biochemical processes including mineralisation rate and cation exchange, also nitrogen losses and greenhouse gas emissions.",Soil Organic Matter Content affects C dynamics. Soil Organic Matter Content affects N dynamics. Soil Organic Matter Content affects biochemical processes. Soil Organic Matter Content affects cation exchange. Soil Organic Matter Content affects greenhouse gas emissions. Soil Organic Matter Content affects mineralisation rate. Soil Organic Matter Content affects pore volume. Soil Organic Matter Content affects soil aggregation. Soil Organic Matter Content affects soil erodibility. Soil Organic Matter Content affects soil hydrology. Soil Organic Matter Content affects soil nitrogen losses. Soil Organic Matter Content affects soil temperature. Soil Organic Matter Content affects total reactive soil micro-surface. Soil Organic Matter Content affects yield. Soil Organic Matter Content has related soil functions. Soil Organic Matter Content agrontology:isSourceOf 'carbon' agrontology:isUsedIn 'soil organisms'. Soil Organic Matter Content agrontology:isSourceOf 'energy' agrontology:isUsedIn 'soil organisms'.,17,17,0.7435897435897436,0.7435897435897436,0.7435897435897437,29,39,39,"['affects', 'aggregation', 'biochemical', 'carbon', 'cation', 'content', 'emissions', 'energy', 'erodibility', 'exchange', 'gas', 'greenhouse', 'hydrology', 'losses', 'matter', 'micro', 'mineralisation', 'nitrogen', 'organic', 'organisms', 'pore', 'processes', 'rate', 'reactive', 'soil', 'surface', 'temperature', 'total', 'volume']",True,,22,Good (0.7-0.9),"Soil organic matter content influences C and N dynamics, biochemical processes, cation exchange, mineralisation rate, pore volume, soil aggregation, soil erodibility, soil hydrology, soil temperature, total reactive soil micro-surface, soil nitrogen losses, greenhouse gas emissions, and yield, and is a source of carbon and energy used by soil organisms.",0.825,0.8461538461538461,0.8354430379746836,33,40,0.09185329438493983,0.08141025641025634,0.10256410256410253
"How is SOC related to soil nitrogen, and what does soil nitrogen affect, including SOM?","SOC is positively correlated with soil nitrogen, and losing SOC entails a loss of soil nitrogen. Soil nitrogen affects the composition of microbial communities (e.g. proportion of fungi and bacteria), root turnover and the chemical composition of SOM.",Soil Nitrogen affects bacteria proportion. Soil Nitrogen affects fungi proportion. Soil Nitrogen affects microbial community composition. Soil Nitrogen affects root turnover. Soil Nitrogen affects SOM chemical composition. Soil Organic Carbon positively correlated with Soil Nitrogen.,6,6,0.8333333333333334,0.5555555555555556,0.6666666666666667,15,18,27,"['affects', 'bacteria', 'chemical', 'composition', 'correlated', 'fungi', 'microbial', 'nitrogen', 'positively', 'proportion', 'root', 'soil', 'som', 'turnover', 'with']",True,,23,Fair (0.5-0.7),"Soil organic carbon is positively correlated with soil nitrogen, which affects bacteria and fungi proportions, microbial community composition, root turnover, and SOM chemical composition.",0.7619047619047619,0.5925925925925926,0.6666666666666666,16,21,-1.1102230246251565e-16,-0.07142857142857151,0.03703703703703698
"What is SOM and what is it made from, and how to convert measured SOC to SOM?","SOM is the sum of all dead organic components at various stages of decomposition in a soil, which are made from basic elements including carbon, nitrogen, oxygen, hydrogen and an array of attached cations and ions. Some definitions also include undecayed plant and animal residues as well as microbial biomass. Factors of 1.724 and 2 are used convert SOC to SOM.","Factor: 1.724 definition Historically, a factor of 1.724 has been used to convert SOC to SOM, based on the assumption that organic matter is 58% carbon. Factor: 2 definition A factor of 2 would often be more accurate, especially in the case of soil layers rich in organic matter, such as on forest floors, because of differences related to the different stages of decomposition and mineralisation. Soil Organic Matter is made from animal residues. Soil Organic Matter is made from attached cations. Soil Organic Matter is made from attached ions. Soil Organic Matter is made from basic elements. Soil Organic Matter is made from microbial biomass. Soil Organic Matter is made from plant residues. Soil Organic Matter definition SOM is the sum of all dead organic components at various stages of decomposition in a soil, which are made from basic elements including carbon, nitrogen, oxygen, hydrogen and an array of attached cations and ions. Some definitions also include undecayed plant and animal residues as well as microbial biomass.",9,9,0.65,0.981132075471698,0.781954887218045,52,80,53,"['1', '2', '724', 'a', 'all', 'also', 'an', 'and', 'animal', 'are', 'array', 'as', 'at', 'attached', 'basic', 'biomass', 'carbon', 'cations', 'components', 'convert', 'dead', 'decomposition', 'definitions', 'elements', 'from', 'hydrogen', 'in', 'include', 'including', 'ions', 'is', 'made', 'microbial', 'nitrogen', 'of', 'organic', 'oxygen', 'plant', 'residues', 'soc', 'soil', 'som', 'some', 'stages', 'sum', 'the', 'to', 'undecayed', 'used', 'various', 'well', 'which']",True,,24,Good (0.7-0.9),"SOM is the sum of all dead organic components in soil at various stages of decomposition, made from basic elements (including carbon, nitrogen, oxygen, hydrogen) with attached cations and ions and may include undecayed plant and animal residues and microbial biomass; convert SOC to SOM using a factor of 1.724 (historically, assuming 58% carbon) or often 2 for organic‑rich layers such as forest floors due to differences in decomposition and mineralisation.",0.7049180327868853,0.8113207547169812,0.7543859649122806,43,61,-0.027568922305764354,0.05491803278688523,-0.16981132075471683
